digital_code,letter code,units,currency_name,rate
36,AUD,1,Австралийский доллар,60.7736
944,AZN,1,Азербайджанский манат,53.6855
51,AMD,100,Армянских драмов,23.5663
933,BYN,1,Белорусский рубль,28.5374
975,BGN,1,Болгарский лев,51.4742
986,BRL,1,Бразильский реал,16.2247
348,HUF,100,Венгерских форинтов,25.415
410,KRW,1000,Вон Республики Корея,67.8906
704,VND,10000,Вьетнамских донгов,37.6942
344,HKD,1,Гонконгский доллар,11.7247
981,GEL,1,Грузинский лари,33.8534
208,DKK,1,Датская крона,13.4912
784,AED,1,Дирхам ОАЭ,24.851
840,USD,1,Доллар США,91.2653
978,EUR,1,Евро,100.7421
818,EGP,10,Египетских фунтов,18.8644
356,INR,10,Индийских рупий,10.8713
360,IDR,10000,Индонезийских рупий,59.0829
398,KZT,100,Казахстанских тенге,19.1152
124,CAD,1,Канадский доллар,67.1118
634,QAR,1,Катарский риал,25.0729
417,KGS,10,Киргизских сомов,10.8391
156,CNY,1,Китайский юань,12.7173
498,MDL,10,Молдавских леев,52.448
554,NZD,1,Новозеландский доллар,56.119
934,TMT,1,Новый туркменский манат,26.0758
578,NOK,10,Норвежских крон,84.5864
985,PLN,1,Польский злотый,23.5123
946,RON,1,Румынский лей,20.2668
960,XDR,1,СДР (специальные права заимствования),122.7573
941,RSD,100,Сербских динаров,86.1539
702,SGD,1,Сингапурский доллар,70.0747
972,TJS,10,Таджикских сомони,85.5939
764,THB,10,Таиландских батов,27.1534
949,TRY,10,Турецких лир,26.8262
860,UZS,10000,Узбекских сумов,71.9377
980,UAH,10,Украинских гривен,22.1841
826,GBP,1,Фунт стерлингов Соединенного королевства,119.1651
203,CZK,10,Чешских крон,40.1625
752,SEK,10,Шведских крон,88.0371
756,CHF,1,Швейцарский франк,107.9424
710,ZAR,10,Южноафриканских рэндов,51.0947
392,JPY,100,Японских иен,64.7272
